category,price,quantity,delivery_status,payment_method,device_type,channel,customer_segment,order_month,order_day_of_week,order_hour,shipping_delay_days
Electronics,49.22,2,Delivered,Apple Pay,Mobile,Organic,VIP,4,5,14,2.0
Electronics,69.72,4,Delivered,Apple Pay,Tablet,Paid Search,Returning,4,5,14,2.0
Home,191.53,5,Delivered,Google Pay,Desktop,Email,VIP,4,6,14,2.0
Electronics,79.03,6,Delivered,Debit Card,Desktop,Email,VIP,4,6,14,6.0
Electronics,339.78,1,Shipped,Credit Card,Desktop,Email,VIP,4,6,14,5.0
Clothing,179.93,2,Shipped,Apple Pay,Mobile,Paid Search,VIP,4,6,14,5.0
Beauty,389.15,3,Shipped,Google Pay,Mobile,Paid Search,VIP,4,6,14,4.0
Books,498.02,1,Shipped,PayPal,Desktop,Paid Search,Returning,4,6,14,4.0
Electronics,133.66,1,Delivered,Credit Card,Mobile,Email,VIP,4,6,14,2.0
Books,385.3,2,Shipped,Google Pay,Desktop,Organic,Returning,4,6,14,4.0
Home,144.89,6,Shipped,PayPal,Mobile,Email,VIP,4,6,14,2.0
Home,484.43,4,Delivered,Debit Card,Desktop,Paid Search,Returning,4,6,14,1.0
Books,417.66,2,Delivered,PayPal,Tablet,Email,VIP,4,6,14,2.0
Electronics,195.31,3,Shipped,Apple Pay,Mobile,Social,Returning,4,6,14,4.0
Toys,73.35,2,Delivered,PayPal,Mobile,Social,New,4,6,14,1.0
Electronics,459.02,2,Delivered,PayPal,Desktop,Email,Returning,4,6,14,7.0
Electronics,106.85,1,Delivered,Credit Card,Mobile,Social,Returning,4,6,14,2.0
Electronics,315.37,3,Shipped,Apple Pay,Desktop,Organic,VIP,4,6,14,4.0
Home,276.18,3,Returned,Debit Card,Desktop,Email,Returning,4,6,14,2.0
Home,155.57,1,Delivered,PayPal,Tablet,Paid Search,Returning,4,6,14,1.0
Electronics,288.41,3,Delivered,Apple Pay,Tablet,Paid Search,Returning,4,6,14,1.0
Books,286.85,2,Delivered,Credit Card,Tablet,Social,Returning,4,6,14,1.0
Toys,422.03,3,Delivered,Apple Pay,Mobile,Email,VIP,4,6,14,2.0
Clothing,241.83,4,Shipped,Credit Card,Tablet,Paid Search,VIP,4,6,14,3.0
Home,362.08,2,Delivered,Apple Pay,Tablet,Social,VIP,4,6,14,1.0
Electronics,496.82,2,Delivered,Apple Pay,Mobile,Organic,Returning,4,6,14,6.0
Books,116.35,1,Delivered,Google Pay,Desktop,Paid Search,Returning,4,6,14,6.0
Electronics,263.78,2,Pending,Apple Pay,Desktop,Social,VIP,4,6,14,4.0
Toys,361.63,3,Shipped,PayPal,Tablet,Social,VIP,4,6,14,7.0
Home,253.4,4,Shipped,Credit Card,Desktop,Social,VIP,4,6,14,6.0
Clothing,313.22,1,Delivered,Credit Card,Tablet,Social,Returning,4,6,14,3.0
Beauty,157.61,3,Delivered,Apple Pay,Desktop,Email,VIP,4,0,14,4.0
Clothing,224.16,1,Shipped,Debit Card,Mobile,Paid Search,Returning,4,0,14,4.0
Clothing,189.2,1,Delivered,PayPal,Desktop,Email,VIP,4,0,14,5.0
Home,198.57,4,Shipped,PayPal,Mobile,Paid Search,VIP,4,0,14,6.0
Books,159.96,4,Delivered,Apple Pay,Desktop,Email,VIP,4,0,14,3.0
Toys,387.29,2,Delivered,PayPal,Desktop,Social,Returning,4,0,14,4.0
Electronics,269.95,3,Shipped,Credit Card,Mobile,Organic,Returning,4,0,14,3.0
Clothing,278.41,2,Delivered,Apple Pay,Tablet,Social,Returning,4,0,14,5.0
Clothing,437.21,1,Delivered,Google Pay,Mobile,Social,VIP,4,0,14,6.0
Books,150.49,2,Delivered,PayPal,Desktop,Email,VIP,4,0,14,5.0
Toys,451.94,1,Delivered,Debit Card,Desktop,Social,Returning,4,0,14,2.0
Clothing,201.22,1,Delivered,PayPal,Desktop,Email,VIP,4,0,14,1.0
Home,375.78,2,Pending,Apple Pay,Mobile,Email,Returning,4,0,14,7.0
Beauty,105.49,1,Shipped,Credit Card,Desktop,Paid Search,Returning,4,0,14,4.0
Home,311.83,1,Shipped,Apple Pay,Mobile,Paid Search,Returning,4,0,14,6.0
Clothing,164.69,1,Delivered,Credit Card,Tablet,Social,VIP,4,0,14,7.0
Books,341.38,3,Delivered,Debit Card,Tablet,Social,VIP,4,0,14,2.0
Electronics,474.66,1,Delivered,Credit Card,Desktop,Organic,VIP,4,0,14,2.0
Beauty,219.4,1,Delivered,Debit Card,Mobile,Organic,VIP,4,0,14,3.0
Toys,39.43,1,Delivered,Apple Pay,Desktop,Organic,Returning,4,0,14,2.0
Books,365.79,3,Returned,Debit Card,Mobile,Paid Search,Returning,4,0,14,5.0
Books,153.26,1,Delivered,Apple Pay,Tablet,Organic,Returning,4,0,14,4.0
Electronics,71.87,3,Pending,Credit Card,Mobile,Organic,Returning,4,0,14,7.0
Clothing,162.69,1,Delivered,Debit Card,Tablet,Paid Search,VIP,4,0,14,2.0
Electronics,490.26,1,Delivered,PayPal,Mobile,Email,Returning,4,0,14,4.0
Books,93.74,4,Delivered,PayPal,Desktop,Paid Search,Returning,4,0,14,3.0
Books,197.88,1,Shipped,Debit Card,Tablet,Email,VIP,4,0,14,3.0
Books,24.96,3,Delivered,Apple Pay,Desktop,Social,Returning,4,0,14,3.0
Books,66.04,3,Delivered,Apple Pay,Tablet,Email,VIP,4,0,14,5.0
Clothing,164.94,2,Delivered,PayPal,Desktop,Email,VIP,4,0,14,7.0
Clothing,23.34,2,Delivered,Google Pay,Tablet,Social,Returning,4,0,14,5.0
Electronics,225.2,3,Delivered,PayPal,Tablet,Paid Search,New,4,0,14,7.0
Beauty,138.59,3,Delivered,Debit Card,Tablet,Social,Returning,4,0,14,4.0
Electronics,135.03,4,Delivered,Debit Card,Tablet,Email,Returning,4,0,14,2.0
Books,91.87,5,Delivered,Google Pay,Desktop,Organic,VIP,4,0,14,6.0
Toys,152.32,1,Delivered,Debit Card,Tablet,Social,VIP,4,0,14,5.0
Home,329.5,1,Delivered,Apple Pay,Tablet,Email,VIP,4,0,14,4.0
Books,196.53,4,Shipped,Google Pay,Tablet,Paid Search,VIP,4,0,14,5.0
Books,386.49,2,Delivered,Apple Pay,Desktop,Social,Returning,4,0,14,3.0
Beauty,56.32,1,Shipped,Apple Pay,Tablet,Organic,New,4,1,14,6.0
Electronics,63.13,1,Shipped,Apple Pay,Tablet,Social,Returning,4,1,14,4.0
Clothing,51.48,2,Delivered,Apple Pay,Desktop,Social,VIP,4,1,14,6.0
Books,391.54,2,Shipped,Google Pay,Desktop,Social,VIP,4,1,14,4.0
Electronics,259.36,1,Delivered,Debit Card,Mobile,Social,Returning,4,1,14,4.0
Books,378.27,3,Delivered,Apple Pay,Desktop,Paid Search,VIP,4,1,14,6.0
Home,107.48,3,Shipped,PayPal,Desktop,Social,Returning,4,1,14,3.0
Electronics,499.9,2,Delivered,Debit Card,Tablet,Organic,VIP,4,1,14,7.0
Clothing,297.48,1,Delivered,PayPal,Mobile,Organic,VIP,4,1,14,7.0
Beauty,245.69,3,Delivered,PayPal,Tablet,Paid Search,Returning,4,1,14,4.0
Books,98.14,1,Shipped,Credit Card,Desktop,Social,Returning,4,1,14,7.0
Electronics,49.49,2,Delivered,Debit Card,Tablet,Email,Returning,4,1,14,4.0
Books,45.26,1,Delivered,PayPal,Mobile,Paid Search,Returning,4,1,14,4.0
Beauty,67.61,2,Delivered,Apple Pay,Desktop,Organic,VIP,4,1,14,4.0
Clothing,471.53,2,Delivered,Credit Card,Tablet,Organic,Returning,4,1,14,3.0
Home,60.33,4,Delivered,Apple Pay,Tablet,Email,VIP,4,1,14,4.0
Clothing,330.9,2,Delivered,Credit Card,Desktop,Email,Returning,4,1,14,2.0
Electronics,143.32,2,Delivered,Credit Card,Desktop,Social,VIP,4,1,14,2.0
Home,494.51,1,Delivered,Credit Card,Mobile,Paid Search,VIP,4,1,14,7.0
Beauty,203.22,2,Delivered,Debit Card,Desktop,Email,Returning,4,1,14,1.0
Home,284.78,3,Delivered,Google Pay,Mobile,Organic,VIP,4,1,14,5.0
Books,79.93,3,Delivered,Google Pay,Desktop,Email,VIP,4,1,14,7.0
Books,289.25,3,Shipped,Credit Card,Mobile,Paid Search,Returning,4,1,14,1.0
Beauty,216.6,1,Delivered,Google Pay,Tablet,Email,VIP,4,2,14,4.0
Toys,135.83,2,Delivered,Debit Card,Mobile,Social,Returning,4,2,14,1.0
Electronics,15.13,1,Delivered,Google Pay,Mobile,Email,VIP,4,2,14,4.0
Beauty,52.29,2,Shipped,Apple Pay,Desktop,Email,VIP,4,2,14,3.0
Beauty,169.93,3,Returned,Credit Card,Desktop,Organic,Returning,4,2,14,7.0
Books,316.19,1,Delivered,Credit Card,Mobile,Paid Search,Returning,4,2,14,3.0
Beauty,363.98,3,Pending,PayPal,Desktop,Paid Search,VIP,4,2,14,7.0
Beauty,120.26,1,Delivered,PayPal,Desktop,Paid Search,VIP,4,2,14,3.0
Toys,292.71,1,Delivered,Credit Card,Mobile,Email,Returning,4,2,14,2.0
Toys,423.75,1,Returned,Debit Card,Mobile,Paid Search,VIP,4,2,14,1.0
Clothing,436.52,1,Delivered,PayPal,Mobile,Social,Returning,4,2,14,1.0
Electronics,429.13,5,Delivered,Google Pay,Mobile,Organic,VIP,4,2,14,7.0
Electronics,244.56,3,Delivered,Apple Pay,Tablet,Email,VIP,4,2,14,2.0
Home,89.94,4,Shipped,Debit Card,Tablet,Email,Returning,4,2,14,2.0
Clothing,332.58,1,Shipped,Apple Pay,Tablet,Social,Returning,4,2,14,7.0
Beauty,314.69,1,Returned,Apple Pay,Mobile,Email,VIP,4,2,14,4.0
Toys,296.71,5,Delivered,Apple Pay,Desktop,Social,Returning,4,2,14,3.0
Electronics,359.67,1,Delivered,Apple Pay,Tablet,Organic,Returning,4,2,14,6.0
Clothing,474.62,1,Delivered,Credit Card,Desktop,Paid Search,Returning,4,2,14,7.0
Clothing,408.76,4,Delivered,Debit Card,Mobile,Email,VIP,4,2,14,4.0
Books,394.99,2,Delivered,Debit Card,Desktop,Email,VIP,4,2,14,1.0
Home,334.74,3,Shipped,PayPal,Mobile,Email,Returning,4,2,14,6.0
Books,374.04,1,Pending,Credit Card,Tablet,Social,VIP,4,2,14,3.0
Home,126.51,1,Pending,Google Pay,Desktop,Email,New,4,2,14,4.0
Electronics,209.54,2,Delivered,Google Pay,Desktop,Social,Returning,4,2,14,4.0
Beauty,383.97,3,Shipped,PayPal,Tablet,Paid Search,VIP,4,2,14,6.0
Home,211.49,4,Delivered,Google Pay,Mobile,Social,VIP,4,2,14,1.0
Books,96.12,2,Delivered,PayPal,Mobile,Organic,VIP,4,2,14,2.0
Books,79.22,2,Pending,PayPal,Tablet,Paid Search,New,4,2,14,4.0
Electronics,405.57,1,Shipped,PayPal,Mobile,Email,New,4,3,14,7.0
Books,429.6,4,Pending,Google Pay,Desktop,Paid Search,VIP,4,3,14,6.0
Home,337.61,2,Delivered,Apple Pay,Tablet,Paid Search,Returning,4,3,14,6.0
Electronics,151.11,4,Shipped,Credit Card,Mobile,Email,VIP,4,3,14,6.0
Home,192.02,2,Delivered,Apple Pay,Tablet,Email,Returning,4,3,14,1.0
Electronics,74.59,1,Delivered,Apple Pay,Desktop,Email,VIP,4,3,14,6.0
Books,342.64,4,Returned,PayPal,Tablet,Organic,Returning,4,3,14,4.0
Toys,169.93,1,Pending,Debit Card,Mobile,Email,Returning,4,3,14,7.0
Home,200.68,3,Delivered,PayPal,Desktop,Paid Search,VIP,4,3,14,2.0
Clothing,331.34,1,Shipped,Credit Card,Mobile,Organic,VIP,4,3,14,4.0
Toys,289.34,3,Shipped,Credit Card,Mobile,Email,VIP,4,3,14,5.0
Clothing,6.49,3,Delivered,PayPal,Desktop,Social,Returning,4,3,14,4.0
Beauty,139.81,4,Shipped,Google Pay,Desktop,Social,Returning,4,3,14,7.0
Home,229.5,1,Shipped,PayPal,Desktop,Email,VIP,4,3,14,6.0
Books,492.39,1,Delivered,Apple Pay,Mobile,Paid Search,VIP,4,3,14,5.0
Home,131.34,1,Delivered,Apple Pay,Desktop,Paid Search,VIP,4,3,14,7.0
Books,270.33,2,Pending,Credit Card,Mobile,Email,Returning,4,3,14,5.0
Electronics,122.03,1,Returned,Google Pay,Tablet,Organic,Returning,4,3,14,5.0
Toys,45.47,5,Delivered,Apple Pay,Tablet,Paid Search,Returning,4,3,14,5.0
Beauty,184.17,1,Delivered,Apple Pay,Mobile,Paid Search,Returning,4,3,14,1.0
Electronics,153.96,1,Delivered,Google Pay,Mobile,Organic,Returning,4,3,14,1.0
Beauty,105.16,1,Delivered,PayPal,Tablet,Email,Returning,4,3,14,4.0
Books,306.34,3,Shipped,Debit Card,Tablet,Organic,Returning,4,3,14,4.0
Home,157.24,1,Delivered,Debit Card,Desktop,Social,VIP,4,3,14,6.0
Home,314.18,3,Shipped,Credit Card,Tablet,Social,Returning,4,3,14,1.0
Books,157.39,1,Shipped,Google Pay,Desktop,Paid Search,Returning,4,3,14,1.0
Home,300.91,2,Delivered,Apple Pay,Mobile,Social,VIP,4,3,14,1.0
Electronics,243.79,2,Returned,Credit Card,Tablet,Email,VIP,4,3,14,2.0
Electronics,86.78,1,Returned,Credit Card,Desktop,Email,Returning,4,3,14,7.0
Toys,325.97,3,Delivered,Apple Pay,Desktop,Email,Returning,4,3,14,3.0
Toys,11.92,2,Delivered,Apple Pay,Desktop,Email,New,4,3,14,7.0
Home,336.74,5,Delivered,Google Pay,Mobile,Social,Returning,4,3,14,7.0
Home,333.17,2,Delivered,Credit Card,Mobile,Social,Returning,4,4,14,3.0
Beauty,278.81,1,Delivered,Credit Card,Tablet,Organic,Returning,4,4,14,1.0
Books,207.01,1,Delivered,Google Pay,Tablet,Paid Search,Returning,4,4,14,1.0
Clothing,123.74,2,Shipped,Google Pay,Tablet,Email,Returning,4,4,14,2.0
Toys,333.32,1,Shipped,Debit Card,Desktop,Social,Returning,4,4,14,2.0
Electronics,228.71,3,Delivered,Apple Pay,Tablet,Social,Returning,4,4,14,6.0
Beauty,485.65,1,Shipped,Credit Card,Desktop,Paid Search,Returning,4,4,14,2.0
Books,460.32,2,Shipped,Credit Card,Desktop,Social,VIP,4,4,14,7.0
Clothing,223.43,2,Delivered,Google Pay,Tablet,Email,VIP,4,4,14,2.0
Electronics,292.87,1,Delivered,Debit Card,Desktop,Paid Search,Returning,4,4,14,1.0
Home,74.5,3,Delivered,PayPal,Desktop,Paid Search,VIP,4,4,14,4.0
Books,423.24,7,Delivered,Debit Card,Tablet,Paid Search,Returning,4,4,14,6.0
Electronics,51.86,1,Delivered,Debit Card,Mobile,Social,Returning,4,4,14,3.0
Electronics,371.08,1,Delivered,Credit Card,Tablet,Organic,VIP,4,4,14,3.0
Beauty,67.86,4,Delivered,Debit Card,Mobile,Social,VIP,4,4,14,1.0
Books,305.13,2,Delivered,Credit Card,Tablet,Paid Search,VIP,4,4,14,3.0
Electronics,39.26,3,Delivered,Apple Pay,Mobile,Organic,VIP,4,4,14,5.0
Toys,242.05,2,Delivered,PayPal,Mobile,Organic,Returning,4,4,14,6.0
Beauty,294.1,3,Delivered,Google Pay,Tablet,Social,VIP,4,4,14,7.0
Beauty,362.04,1,Delivered,Google Pay,Tablet,Paid Search,Returning,4,4,14,3.0
Beauty,409.43,1,Delivered,Apple Pay,Mobile,Email,VIP,4,4,14,5.0
Clothing,76.09,1,Delivered,Credit Card,Mobile,Social,VIP,4,4,14,5.0
Beauty,57.56,2,Delivered,Google Pay,Tablet,Social,VIP,4,4,14,3.0
Home,321.27,2,Delivered,Credit Card,Desktop,Organic,Returning,4,4,14,2.0
Beauty,157.93,1,Delivered,Credit Card,Mobile,Organic,Returning,4,4,14,3.0
Clothing,420.56,4,Delivered,Google Pay,Tablet,Social,Returning,4,4,14,3.0
Home,457.44,1,Delivered,Google Pay,Mobile,Social,Returning,4,4,14,7.0
Beauty,476.47,3,Delivered,Apple Pay,Desktop,Paid Search,VIP,4,4,14,2.0
Beauty,341.9,1,Shipped,Apple Pay,Tablet,Social,Returning,4,4,14,2.0
Beauty,493.89,1,Delivered,PayPal,Mobile,Email,New,4,4,14,5.0
Books,182.6,4,Delivered,PayPal,Tablet,Social,VIP,4,4,14,1.0
Toys,266.0,4,Shipped,Google Pay,Desktop,Social,VIP,4,4,14,3.0
Home,90.47,1,Delivered,Debit Card,Mobile,Email,VIP,4,4,14,4.0
Books,35.88,1,Delivered,Debit Card,Desktop,Email,Returning,4,4,14,6.0
Beauty,440.96,2,Delivered,Debit Card,Mobile,Organic,Returning,4,4,14,3.0
Toys,108.04,2,Pending,Credit Card,Tablet,Email,VIP,4,4,14,7.0
Toys,478.78,1,Delivered,PayPal,Mobile,Email,Returning,4,4,14,2.0
Clothing,147.89,2,Delivered,Apple Pay,Tablet,Paid Search,VIP,4,4,14,3.0
Books,42.1,3,Delivered,Apple Pay,Mobile,Social,Returning,4,5,14,5.0
Home,216.97,1,Delivered,Debit Card,Tablet,Paid Search,VIP,4,5,14,4.0
Beauty,76.06,1,Delivered,PayPal,Tablet,Social,Returning,4,5,14,7.0
Clothing,390.99,1,Delivered,Credit Card,Tablet,Organic,Returning,4,5,14,7.0
Beauty,54.23,3,Delivered,Debit Card,Mobile,Organic,VIP,4,5,14,2.0
Books,302.92,1,Delivered,PayPal,Tablet,Organic,New,4,5,14,3.0
Clothing,170.03,2,Shipped,PayPal,Tablet,Email,VIP,4,5,14,3.0
Toys,457.05,1,Delivered,Apple Pay,Desktop,Organic,VIP,4,5,14,4.0
Beauty,217.89,3,Delivered,Google Pay,Desktop,Email,Returning,4,5,14,1.0
Toys,68.96,2,Delivered,Credit Card,Tablet,Paid Search,Returning,4,5,14,5.0
Electronics,123.32,1,Delivered,Apple Pay,Tablet,Social,VIP,4,5,14,4.0
Home,44.28,1,Delivered,Google Pay,Tablet,Organic,VIP,4,5,14,1.0
Home,86.73,2,Delivered,Debit Card,Desktop,Email,VIP,4,5,14,7.0
Clothing,216.11,1,Shipped,PayPal,Mobile,Organic,VIP,4,5,14,2.0
Beauty,493.99,3,Returned,Google Pay,Desktop,Email,Returning,4,5,14,4.0
Beauty,391.46,2,Delivered,Credit Card,Desktop,Organic,VIP,4,5,14,7.0
Clothing,49.49,1,Delivered,Debit Card,Tablet,Email,VIP,4,5,14,5.0
Beauty,51.69,1,Delivered,Google Pay,Mobile,Social,VIP,4,5,14,1.0
Beauty,363.29,1,Shipped,Debit Card,Tablet,Paid Search,Returning,4,5,14,4.0
Beauty,77.64,4,Shipped,PayPal,Desktop,Social,VIP,4,5,14,4.0
Toys,192.58,2,Delivered,Google Pay,Tablet,Social,Returning,4,5,14,4.0
Electronics,288.46,1,Delivered,PayPal,Desktop,Social,Returning,4,5,14,7.0
Beauty,195.91,1,Delivered,Debit Card,Desktop,Email,New,4,5,14,1.0
Books,198.63,3,Delivered,Apple Pay,Mobile,Email,VIP,4,5,14,6.0
Beauty,266.54,3,Pending,Google Pay,Desktop,Paid Search,Returning,4,5,14,2.0
Clothing,282.51,1,Returned,Debit Card,Tablet,Paid Search,VIP,4,5,14,6.0
Home,294.12,1,Delivered,Credit Card,Tablet,Social,VIP,4,5,14,4.0
Books,450.33,1,Delivered,Google Pay,Mobile,Paid Search,VIP,4,5,14,3.0
Beauty,45.86,1,Delivered,Google Pay,Tablet,Social,VIP,4,5,14,2.0
Clothing,362.3,1,Returned,Google Pay,Mobile,Social,Returning,4,5,14,7.0
Electronics,361.31,1,Delivered,PayPal,Desktop,Paid Search,Returning,4,5,14,4.0
Toys,60.56,3,Delivered,Credit Card,Tablet,Paid Search,VIP,4,5,14,3.0
Home,48.71,1,Shipped,Debit Card,Mobile,Organic,New,4,6,14,2.0
Clothing,50.7,1,Delivered,Credit Card,Mobile,Paid Search,Returning,4,6,14,7.0
Books,198.27,1,Delivered,Apple Pay,Desktop,Social,VIP,4,6,14,5.0
Home,324.26,1,Delivered,Apple Pay,Tablet,Organic,VIP,4,6,14,3.0
Beauty,382.89,1,Delivered,Debit Card,Mobile,Social,Returning,4,6,14,3.0
Clothing,441.98,1,Delivered,PayPal,Desktop,Organic,VIP,4,6,14,3.0
Electronics,313.99,2,Returned,Google Pay,Desktop,Social,Returning,4,6,14,1.0
Electronics,343.22,3,Returned,Google Pay,Tablet,Paid Search,New,4,6,14,2.0
Home,201.19,1,Delivered,Apple Pay,Tablet,Email,Returning,4,6,14,3.0
Beauty,200.26,3,Delivered,Credit Card,Desktop,Paid Search,VIP,4,6,14,4.0
Books,12.61,3,Delivered,Debit Card,Mobile,Paid Search,Returning,4,6,14,7.0
Clothing,232.62,2,Shipped,Apple Pay,Desktop,Email,Returning,4,6,14,1.0
Electronics,268.66,2,Shipped,Credit Card,Mobile,Organic,VIP,4,6,14,6.0
Toys,286.93,4,Delivered,PayPal,Tablet,Email,Returning,4,6,14,2.0
Clothing,65.62,1,Delivered,Google Pay,Mobile,Email,VIP,4,6,14,4.0
Electronics,333.79,2,Delivered,PayPal,Tablet,Email,Returning,4,6,14,2.0
Home,302.6,1,Delivered,Debit Card,Desktop,Email,Returning,4,6,14,2.0
Home,131.84,4,Returned,Google Pay,Desktop,Email,VIP,4,6,14,2.0
Books,247.55,2,Delivered,Credit Card,Tablet,Email,Returning,4,6,14,3.0
Beauty,368.59,2,Delivered,Google Pay,Tablet,Email,New,4,6,14,5.0
Home,243.51,1,Delivered,Debit Card,Desktop,Organic,Returning,4,6,14,2.0
Electronics,230.19,2,Shipped,Credit Card,Desktop,Organic,Returning,4,6,14,2.0
Toys,375.22,2,Shipped,Google Pay,Tablet,Social,Returning,4,6,14,7.0
Home,385.79,2,Delivered,Apple Pay,Mobile,Paid Search,VIP,4,6,14,7.0
Toys,435.55,5,Delivered,PayPal,Desktop,Organic,VIP,4,6,14,1.0
Home,227.06,2,Returned,Debit Card,Mobile,Paid Search,VIP,4,6,14,5.0
Books,261.45,1,Delivered,Google Pay,Desktop,Organic,VIP,4,6,14,7.0
Clothing,58.4,3,Delivered,PayPal,Tablet,Social,Returning,4,6,14,1.0
Clothing,315.99,3,Shipped,Google Pay,Tablet,Paid Search,Returning,4,6,14,2.0
Toys,466.18,4,Delivered,Credit Card,Mobile,Paid Search,Returning,4,6,14,2.0
Clothing,364.29,1,Shipped,Google Pay,Desktop,Email,Returning,4,6,14,1.0
Electronics,216.72,5,Returned,Apple Pay,Desktop,Organic,VIP,4,6,14,3.0
Beauty,62.75,2,Delivered,Apple Pay,Mobile,Social,Returning,4,0,14,3.0
Beauty,462.46,3,Delivered,Apple Pay,Tablet,Social,Returning,4,0,14,2.0
Electronics,444.69,2,Delivered,Debit Card,Desktop,Email,Returning,4,0,14,3.0
Home,413.93,2,Delivered,Google Pay,Tablet,Organic,New,4,0,14,6.0
Clothing,102.4,1,Shipped,Apple Pay,Tablet,Email,Returning,4,0,14,2.0
Home,391.78,3,Delivered,Google Pay,Desktop,Paid Search,Returning,4,0,14,7.0
Beauty,321.53,2,Delivered,Apple Pay,Tablet,Paid Search,Returning,4,0,14,5.0
Electronics,343.45,2,Pending,Apple Pay,Tablet,Paid Search,Returning,4,0,14,7.0
Toys,105.56,4,Shipped,Google Pay,Tablet,Social,VIP,4,0,14,7.0
Toys,255.69,1,Delivered,Google Pay,Mobile,Email,VIP,4,0,14,6.0
Beauty,464.12,1,Delivered,Google Pay,Desktop,Organic,Returning,4,0,14,5.0
Electronics,486.97,2,Shipped,Debit Card,Mobile,Organic,VIP,4,0,14,3.0
Beauty,256.33,2,Shipped,Apple Pay,Desktop,Email,Returning,4,0,14,4.0
Electronics,174.4,1,Shipped,Google Pay,Mobile,Email,Returning,4,0,14,3.0
Clothing,422.0,3,Delivered,Apple Pay,Desktop,Email,VIP,4,0,14,2.0
Home,371.29,1,Pending,PayPal,Tablet,Social,VIP,4,0,14,1.0
Books,178.49,2,Delivered,Google Pay,Mobile,Organic,Returning,4,0,14,3.0
Home,451.48,2,Shipped,Apple Pay,Mobile,Social,VIP,4,0,14,1.0
Books,14.98,2,Delivered,PayPal,Tablet,Organic,Returning,4,0,14,1.0
Clothing,259.97,1,Delivered,PayPal,Mobile,Organic,VIP,4,0,14,2.0
Toys,132.59,4,Delivered,Google Pay,Desktop,Paid Search,VIP,4,0,14,1.0
Home,307.83,1,Delivered,Debit Card,Tablet,Social,Returning,4,0,14,3.0
Beauty,472.38,2,Shipped,PayPal,Tablet,Social,Returning,4,0,14,4.0
Toys,152.96,3,Delivered,Google Pay,Mobile,Email,Returning,4,0,14,7.0
Toys,150.8,1,Delivered,Credit Card,Mobile,Email,Returning,4,0,14,3.0
Beauty,330.28,1,Returned,PayPal,Tablet,Social,Returning,4,1,14,2.0
Books,253.14,4,Delivered,PayPal,Mobile,Paid Search,Returning,4,1,14,4.0
Books,465.41,2,Delivered,Debit Card,Tablet,Organic,Returning,4,1,14,3.0
Clothing,60.1,2,Delivered,Apple Pay,Desktop,Email,VIP,4,1,14,1.0
Clothing,329.21,2,Delivered,Google Pay,Tablet,Organic,VIP,4,1,14,1.0
Clothing,231.94,1,Shipped,Apple Pay,Mobile,Organic,Returning,4,1,14,4.0
Books,415.34,2,Delivered,Apple Pay,Tablet,Paid Search,Returning,4,1,14,6.0
Books,185.59,2,Delivered,Apple Pay,Mobile,Social,Returning,4,1,14,4.0
